"TOA5","LTUX","CR1000","75756","CR1000.Std.31","CPU:LTUX.cr1","29697","Segundo"
"TIMESTAMP","RECORD","Voltage"
"TS","RN","Volts"
"","","Smp"
"2017-12-13 19:25:50",154,0.084
"2017-12-13 19:26:00",155,0.085
"2017-12-13 19:26:10",156,0.085
"2017-12-13 19:26:20",157,0.085
"2017-12-13 19:26:30",158,0.086
"2017-12-13 19:26:40",159,0.086
"2017-12-13 19:26:50",160,0.086
"2017-12-13 19:27:00",161,0.087
"2017-12-13 19:27:10",162,0.087
"2017-12-13 19:27:20",163,0.087
"2017-12-13 19:27:30",164,0.087
"2017-12-13 19:27:40",165,0.088
"2017-12-13 19:27:50",166,0.088
"2017-12-13 19:28:00",167,0.087
"2017-12-13 19:28:10",168,0.087
"2017-12-13 19:28:20",169,0.086
"2017-12-13 19:28:30",170,0.087
"2017-12-13 19:28:40",171,0.087
"2017-12-13 19:28:50",172,0.087
"2017-12-13 19:29:00",173,0.087
"2017-12-13 19:29:10",174,0.088
"2017-12-13 19:29:20",175,0.088
"2017-12-13 19:29:30",176,0.088
"2017-12-13 19:29:40",177,0.088
"2017-12-13 19:29:50",178,0.088
"2017-12-13 19:30:00",179,0.089
"2017-12-13 19:30:10",180,0.089
"2017-12-13 19:30:20",181,0.089
"2017-12-13 19:30:30",182,0.088
"2017-12-13 19:30:40",183,0.09
"2017-12-13 19:30:50",184,0.09
"2017-12-13 19:31:00",185,0.09
"2017-12-13 19:31:10",186,0.09
"2017-12-13 19:31:20",187,0.09
"2017-12-13 19:31:30",188,0.09
"2017-12-13 19:31:40",189,0.09
"2017-12-13 19:31:50",190,0.09
"2017-12-13 19:32:00",191,0.091
"2017-12-13 19:32:10",192,0.091
"2017-12-13 19:32:20",193,0.092
"2017-12-13 19:32:30",194,0.092
"2017-12-13 19:32:40",195,0.093
"2017-12-13 19:32:50",196,0.093
"2017-12-13 19:33:00",197,0.093
"2017-12-13 19:33:10",198,0.094
"2017-12-13 19:33:20",199,0.094
"2017-12-13 19:33:30",200,0.095
"2017-12-13 19:33:40",201,0.095
"2017-12-13 19:33:50",202,0.096
"2017-12-13 19:34:00",203,0.096
"2017-12-13 19:34:10",204,0.093
"2017-12-13 19:34:20",205,0.092
"2017-12-13 19:34:30",206,0.09
"2017-12-13 19:34:40",207,0.089
"2017-12-13 19:34:50",208,0.09
"2017-12-13 19:35:00",209,0.092
"2017-12-13 19:35:10",210,0.093
"2017-12-13 19:35:20",211,0.095
"2017-12-13 19:35:30",212,0.096
"2017-12-13 19:35:40",213,0.097
"2017-12-13 19:35:50",214,0.098
"2017-12-13 19:36:00",215,0.099
"2017-12-13 19:36:10",216,0.099
"2017-12-13 19:36:20",217,0.1
"2017-12-13 19:36:30",218,0.1
"2017-12-13 19:36:40",219,0.1
"2017-12-13 19:36:50",220,0.1
"2017-12-13 19:37:00",221,0.1
"2017-12-13 19:37:10",222,0.101
"2017-12-13 19:37:20",223,0.102
"2017-12-13 19:37:30",224,0.102
"2017-12-13 19:37:40",225,0.102
"2017-12-13 19:37:50",226,0.102
"2017-12-13 19:38:00",227,0.103
"2017-12-13 19:38:10",228,0.103
"2017-12-13 19:38:20",229,0.103
"2017-12-13 19:38:30",230,0.103
"2017-12-13 19:38:40",231,0.104
"2017-12-13 19:38:50",232,0.104
"2017-12-13 19:39:00",233,0.105
"2017-12-13 19:39:10",234,0.105
"2017-12-13 19:39:20",235,0.105
"2017-12-13 19:39:30",236,0.105
"2017-12-13 19:39:40",237,0.106
"2017-12-13 19:39:50",238,0.106
"2017-12-13 19:40:00",239,0.106
"2017-12-13 19:40:10",240,0.106
"2017-12-13 19:40:20",241,0.106
"2017-12-13 19:40:30",242,0.106
"2017-12-13 19:40:40",243,0.107
"2017-12-13 19:40:50",244,0.107
"2017-12-13 19:41:00",245,0.107
"2017-12-13 19:41:10",246,0.107
"2017-12-13 19:41:20",247,0.108
"2017-12-13 19:41:30",248,0.108
"2017-12-13 19:41:40",249,0.108
"2017-12-13 19:41:50",250,0.108
"2017-12-13 19:42:00",251,0.109
"2017-12-13 19:42:10",252,0.109
"2017-12-13 19:42:20",253,0.109
"2017-12-13 19:42:30",254,0.109
"2017-12-13 19:42:40",255,0.109
"2017-12-13 19:42:50",256,0.109
"2017-12-13 19:43:00",257,0.109
"2017-12-13 19:43:10",258,0.11
"2017-12-13 19:43:20",259,0.11
"2017-12-13 19:43:30",260,0.11
"2017-12-13 19:43:40",261,0.11
"2017-12-13 19:43:50",262,0.11
"2017-12-13 19:44:00",263,0.11
"2017-12-13 19:44:10",264,0.111
"2017-12-13 19:44:20",265,0.11
"2017-12-13 19:44:30",266,0.111
"2017-12-13 19:44:40",267,0.111
"2017-12-13 19:44:50",268,0.111
"2017-12-13 19:45:00",269,0.111
"2017-12-13 19:45:10",270,0.111
"2017-12-13 19:45:20",271,0.111
"2017-12-13 19:45:30",272,0.111
"2017-12-13 19:45:40",273,0.111
"2017-12-13 19:45:50",274,0.112
"2017-12-13 19:46:00",275,0.111
"2017-12-13 19:46:10",276,0.112
"2017-12-13 19:46:20",277,0.112
"2017-12-13 19:46:30",278,0.112
"2017-12-13 19:46:40",279,0.111
"2017-12-13 19:46:50",280,0.111
"2017-12-13 19:47:00",281,0.112
"2017-12-13 19:47:10",282,0.112
"2017-12-13 19:47:20",283,0.112
"2017-12-13 19:47:30",284,0.112
"2017-12-13 19:47:40",285,0.112
"2017-12-13 19:47:50",286,0.112
"2017-12-13 19:48:00",287,0.112
"2017-12-13 19:48:10",288,0.112
"2017-12-13 19:48:20",289,0.112
"2017-12-13 19:48:30",290,0.112
"2017-12-13 19:48:40",291,0.113
"2017-12-13 19:48:50",292,0.112
"2017-12-13 19:49:00",293,0.113
"2017-12-13 19:49:10",294,0.113
"2017-12-13 19:49:20",295,0.113
"2017-12-13 19:49:30",296,0.113
"2017-12-13 19:49:40",297,0.113
"2017-12-13 19:49:50",298,0.113
"2017-12-13 19:50:00",299,0.113
"2017-12-13 19:50:10",300,0.113
"2017-12-13 19:50:20",301,0.113
"2017-12-13 19:50:30",302,0.113
"2017-12-13 19:50:40",303,0.113
"2017-12-13 19:50:50",304,0.113
"2017-12-13 19:51:00",305,0.113
"2017-12-13 19:51:10",306,0.113
"2017-12-13 19:51:20",307,0.113
"2017-12-13 19:51:30",308,0.114
"2017-12-13 19:51:40",309,0.114
"2017-12-13 19:51:50",310,0.114
"2017-12-13 19:52:00",311,0.114
"2017-12-13 19:52:10",312,0.114
"2017-12-13 19:52:20",313,0.114
"2017-12-13 19:52:30",314,0.114
"2017-12-13 19:52:40",315,0.114
"2017-12-13 19:52:50",316,0.114
"2017-12-13 19:53:00",317,0.114
"2017-12-13 19:53:10",318,0.115
"2017-12-13 19:53:20",319,0.115
"2017-12-13 19:53:30",320,0.115
"2017-12-13 19:53:40",321,0.115
"2017-12-13 19:53:50",322,0.115
"2017-12-13 19:54:00",323,0.115
"2017-12-13 19:54:10",324,0.115
"2017-12-13 19:54:20",325,0.115
"2017-12-13 19:54:30",326,0.115
"2017-12-13 19:54:40",327,0.115
"2017-12-13 19:54:50",328,0.115
"2017-12-13 19:55:00",329,0.115
"2017-12-13 19:55:10",330,0.115
"2017-12-13 19:55:20",331,0.115
"2017-12-13 19:55:30",332,0.115
"2017-12-13 19:55:40",333,0.115
"2017-12-13 19:55:50",334,0.115
"2017-12-13 19:56:00",335,0.115
"2017-12-13 19:56:10",336,0.115
"2017-12-13 19:56:20",337,0.116
"2017-12-13 19:56:30",338,0.116
"2017-12-13 19:56:40",339,0.116
"2017-12-13 19:56:50",340,0.116
"2017-12-13 19:57:00",341,0.116
"2017-12-13 19:57:10",342,0.116
"2017-12-13 19:57:20",343,0.116
"2017-12-13 19:57:30",344,0.116
"2017-12-13 19:57:40",345,0.116
"2017-12-13 19:57:50",346,0.116
"2017-12-13 19:58:00",347,0.116
"2017-12-13 19:58:10",348,0.116
"2017-12-13 19:58:20",349,0.116
"2017-12-13 19:58:30",350,0.116
"2017-12-13 19:58:40",351,0.116
"2017-12-13 19:58:50",352,0.116
"2017-12-13 19:59:00",353,0.116
"2017-12-13 19:59:10",354,0.116
"2017-12-13 19:59:20",355,0.116
"2017-12-13 19:59:30",356,0.116
"2017-12-13 19:59:40",357,0.116
"2017-12-13 19:59:50",358,0.115
"2017-12-13 20:00:00",359,0.115
"2017-12-13 20:00:10",360,0.116
"2017-12-13 20:00:20",361,0.115
"2017-12-13 20:00:30",362,0.115
"2017-12-13 20:00:40",363,0.115
"2017-12-13 20:00:50",364,0.115
"2017-12-13 20:01:00",365,0.115
"2017-12-13 20:01:10",366,0.115
"2017-12-13 20:01:20",367,0.115
"2017-12-13 20:01:30",368,0.115
"2017-12-13 20:01:40",369,0.115
"2017-12-13 20:01:50",370,0.115
"2017-12-13 20:02:00",371,0.115
"2017-12-13 20:02:10",372,0.115
"2017-12-13 20:02:20",373,0.115
"2017-12-13 20:02:30",374,0.115
"2017-12-13 20:02:40",375,0.115
"2017-12-13 20:02:50",376,0.116
"2017-12-13 20:03:00",377,0.116
"2017-12-13 20:03:10",378,0.115
"2017-12-13 20:03:20",379,0.116
"2017-12-13 20:03:30",380,0.115
"2017-12-13 20:03:40",381,0.115
"2017-12-13 20:03:50",382,0.115
"2017-12-13 20:04:00",383,0.115
"2017-12-13 20:04:10",384,0.115
"2017-12-13 20:04:20",385,0.115
"2017-12-13 20:04:30",386,0.115
"2017-12-13 20:04:40",387,0.115
"2017-12-13 20:04:50",388,0.115
"2017-12-13 20:05:00",389,0.115
"2017-12-13 20:05:10",390,0.115
"2017-12-13 20:05:20",391,0.115
"2017-12-13 20:05:30",392,0.114
"2017-12-13 20:05:40",393,0.115
"2017-12-13 20:05:50",394,0.115
"2017-12-13 20:06:00",395,0.115
"2017-12-13 20:06:10",396,0.114
"2017-12-13 20:06:20",397,0.115
"2017-12-13 20:06:30",398,0.114
"2017-12-13 20:06:40",399,0.115
"2017-12-13 20:06:50",400,0.115
"2017-12-13 20:07:00",401,0.115
"2017-12-13 20:07:10",402,0.115
"2017-12-13 20:07:20",403,0.115
"2017-12-13 20:07:30",404,0.115
"2017-12-13 20:07:40",405,0.115
"2017-12-13 20:07:50",406,0.115
"2017-12-13 20:08:00",407,0.115
"2017-12-13 20:08:10",408,0.115
"2017-12-13 20:08:20",409,0.115
"2017-12-13 20:08:30",410,0.115
"2017-12-13 20:08:40",411,0.115
"2017-12-13 20:08:50",412,0.115
"2017-12-13 20:09:00",413,0.115
"2017-12-13 20:09:10",414,0.115
"2017-12-13 20:09:20",415,0.115
"2017-12-13 20:09:30",416,0.116
"2017-12-13 20:09:40",417,0.115
"2017-12-13 20:09:50",418,0.116
"2017-12-13 20:10:00",419,0.116
"2017-12-13 20:10:10",420,0.116
"2017-12-13 20:10:20",421,0.116
"2017-12-13 20:10:30",422,0.116
"2017-12-13 20:10:40",423,0.116
"2017-12-13 20:10:50",424,0.116
"2017-12-13 20:11:00",425,0.116
"2017-12-13 20:11:10",426,0.116
"2017-12-13 20:11:20",427,0.116
"2017-12-13 20:11:30",428,0.116
"2017-12-13 20:11:40",429,0.116
"2017-12-13 20:11:50",430,0.116
"2017-12-13 20:12:00",431,0.116
"2017-12-13 20:12:10",432,0.116
"2017-12-13 20:12:20",433,0.116
"2017-12-13 20:12:30",434,0.116
"2017-12-13 20:12:40",435,0.116
"2017-12-13 20:12:50",436,0.116
"2017-12-13 20:13:00",437,0.115
"2017-12-13 20:13:10",438,0.116
"2017-12-13 20:13:20",439,0.116
"2017-12-13 20:13:30",440,0.116
"2017-12-13 20:13:40",441,0.116
"2017-12-13 20:13:50",442,0.116
"2017-12-13 20:14:00",443,0.116
"2017-12-13 20:14:10",444,0.116
"2017-12-13 20:14:20",445,0.116
"2017-12-13 20:14:30",446,0.116
"2017-12-13 20:14:40",447,0.116
"2017-12-13 20:14:50",448,0.116
"2017-12-13 20:15:00",449,0.116
"2017-12-13 20:15:10",450,0.116
"2017-12-13 20:15:20",451,0.116
"2017-12-13 20:15:30",452,0.116
"2017-12-13 20:15:40",453,0.117
"2017-12-13 20:15:50",454,0.117
"2017-12-13 20:16:00",455,0.117
"2017-12-13 20:16:10",456,0.117
"2017-12-13 20:16:20",457,0.116
"2017-12-13 20:16:30",458,0.117
"2017-12-13 20:16:40",459,0.117
"2017-12-13 20:16:50",460,0.117
"2017-12-13 20:17:00",461,0.117
"2017-12-13 20:17:10",462,0.117
"2017-12-13 20:17:20",463,0.117
"2017-12-13 20:17:30",464,0.117
"2017-12-13 20:17:40",465,0.117
"2017-12-13 20:17:50",466,0.117
"2017-12-13 20:18:00",467,0.118
"2017-12-13 20:18:10",468,0.117
"2017-12-13 20:18:20",469,0.118
"2017-12-13 20:18:30",470,0.118
"2017-12-13 20:18:40",471,0.117
"2017-12-13 20:18:50",472,0.118
"2017-12-13 20:19:00",473,0.117
"2017-12-13 20:19:10",474,0.118
"2017-12-13 20:19:20",475,0.118
"2017-12-13 20:19:30",476,0.118
"2017-12-13 20:19:40",477,0.117
"2017-12-13 20:19:50",478,0.118
"2017-12-13 20:20:00",479,0.118
"2017-12-13 20:20:10",480,0.118
"2017-12-13 20:20:20",481,0.117
"2017-12-13 20:20:30",482,0.118
"2017-12-13 20:20:40",483,0.118
"2017-12-13 20:20:50",484,0.118
"2017-12-13 20:21:00",485,0.118
"2017-12-13 20:21:10",486,0.118
"2017-12-13 20:21:20",487,0.118
"2017-12-13 20:21:30",488,0.118
"2017-12-13 20:21:40",489,0.118
"2017-12-13 20:21:50",490,0.118
"2017-12-13 20:22:00",491,0.118
"2017-12-13 20:22:10",492,0.118
"2017-12-13 20:22:20",493,0.118
"2017-12-13 20:22:30",494,0.118
"2017-12-13 20:22:40",495,0.118
"2017-12-13 20:22:50",496,0.118
"2017-12-13 20:23:00",497,0.119
"2017-12-13 20:23:10",498,0.119
"2017-12-13 20:23:20",499,0.119
"2017-12-13 20:23:30",500,0.119
"2017-12-13 20:23:40",501,0.119
"2017-12-13 20:23:50",502,0.119
"2017-12-13 20:24:00",503,0.119
"2017-12-13 20:24:10",504,0.119
"2017-12-13 20:24:20",505,0.119
"2017-12-13 20:24:30",506,0.119
"2017-12-13 20:24:40",507,0.119
"2017-12-13 20:24:50",508,0.119
"2017-12-13 20:25:00",509,0.119
"2017-12-13 20:25:10",510,0.119
"2017-12-13 20:25:20",511,0.119
"2017-12-13 20:25:30",512,0.119
"2017-12-13 20:25:40",513,0.119
"2017-12-13 20:25:50",514,0.119
"2017-12-13 20:26:00",515,0.12
"2017-12-13 20:26:10",516,0.12
"2017-12-13 20:26:20",517,0.119
"2017-12-13 20:26:30",518,0.12
"2017-12-13 20:26:40",519,0.12
"2017-12-13 20:26:50",520,0.12
"2017-12-13 20:27:00",521,0.12
"2017-12-13 20:27:10",522,0.12
"2017-12-13 20:27:20",523,0.12
"2017-12-13 20:27:30",524,0.12
"2017-12-13 20:27:40",525,0.12
"2017-12-13 20:27:50",526,0.12
"2017-12-13 20:28:00",527,0.12
"2017-12-13 20:28:10",528,0.121
"2017-12-13 20:28:20",529,0.121
"2017-12-13 20:28:30",530,0.12
"2017-12-13 20:28:40",531,0.121
"2017-12-13 20:28:50",532,0.121
"2017-12-13 20:29:00",533,0.121
"2017-12-13 20:29:10",534,0.121
"2017-12-13 20:29:20",535,0.121
"2017-12-13 20:29:30",536,0.121
"2017-12-13 20:29:40",537,0.121
"2017-12-13 20:29:50",538,0.121
"2017-12-13 20:30:00",539,0.121
"2017-12-13 20:30:10",540,0.121
"2017-12-13 20:30:20",541,0.121
"2017-12-13 20:30:30",542,0.121
"2017-12-13 20:30:40",543,0.121
"2017-12-13 20:30:50",544,0.121
"2017-12-13 20:31:00",545,0.121
"2017-12-13 20:31:10",546,0.121
"2017-12-13 20:31:20",547,0.121
